ICAO code,IATA type code,Model
B764,764,Boeing 767-400ER
B772,772,Boeing 777-200 / Boeing 777-200ER
B773,773,Boeing 777-300
B778,778,Boeing 777-8
B779,779,Boeing 777-9
B77L,77X,Boeing 777-200 Freighter
B77L,77L,Boeing 777-200LR
B77W,77W,Boeing 777-300ER
B788,788,Boeing 787-8
B789,789,Boeing 787-9
B78X,781,Boeing 787-10
BA11,B11,British Aerospace (BAC) One Eleven
BCS1,221,Bombardier CSeries CS100 / Airbus A220-100
BCS3,223,Bombardier CSeries CS300 / Airbus A220-300
BE20,—N/a,Beechcraft (Super) King Air 200
BE40,—N/a,Hawker 400
BE99,—N/a,Beechcraft Model 99
BELF,SHB,Shorts SC-5 Belfast
BER2,—N/a,Beriev Be-200 Altair
BLCF,74B,Boeing 747-400 LCF Dreamlifter
C130,LOH,Lockheed L-182 / 282 / 382 (L-100) Hercules
C208,—N/a,Cessna 208 Caravan
C212,CS2,CASA / IPTN 212 Aviocar
C25A,CNJ,Cessna Citation CJ2
C25B,CNJ,Cessna Citation CJ3
C25C,CNJ,Cessna Citation CJ4
C30J,LOH,Lockheed Martin C-130J Hercules
C408,—N/a,Cessna 408 SkyCourier
C5M,—N/a,Lockheed C-5M Super Galaxy
C500,CNJ,Cessna Citation I
C510,CNJ,Cessna Citation Mustang
C525,CNJ,Cessna CitationJet
C550,CNJ,Cessna Citation II
C560,CNJ,Cessna Citation V
C56X,CNJ,Cessna Citation Excel
C650,CNJ,"Cessna Citation III, VI, VII"
C680,CNJ,Cessna Citation Sovereign
C68A,CNJ,Cessna Citation Latitude
C700,CNJ,Cessna Citation Longitude
C750,CNJ,Cessna Citation X
C919,919,Comac C919
CL2T,—N/a,Bombardier 415
CL30,—N/a,Bombardier BD-100 Challenger 300
CL35,—N/a,Bombardier BD-100 Challenger 350
CL60,CCJ,Canadair Challenger 600
CN35,CS5,CASA/IPTN CN-235
CRJ1,CR1,Canadair Regional Jet 100
CRJ2,CR2,Canadair Regional Jet 200
CRJ7,CR7,Canadair Regional Jet 700 | Regional Jet 550
CRJ9,CR9,Canadair Regional Jet 900
CRJX,CRK,Canadair Regional Jet 1000
CVLT,CV5,"Convair CV-580, Convair CV-600, Convair CV-640"
D228,D28,Dornier 228
D328,D38,Fairchild Dornier Do.328
DC10,D11,Douglas DC-10-10 / -15 Passenger
DC10,D1C,Douglas DC-10-30 / -40 Passenger
DC10,D1M,Douglas DC-10-30 Combi
DC10,D1X,Douglas DC-10-10 Freighter
DC10,D1Y,Douglas DC-10-30 / -40 Freighter
DC85,D8T,Douglas DC-8-50
DC86,D8L,Douglas DC-8-62
DC87,D8Q,Douglas DC-8-72
DC91,D91,Douglas DC-9-10
DC92,D92,Douglas DC-9-20
DC93,D93,Douglas DC-9-30
DC94,D94,Douglas DC-9-40
DC95,D95,Douglas DC-9-50
DH8A,DH1,De Havilland Canada DHC-8-100 Dash 8 / 8Q
DH8B,DH2,De Havilland Canada DHC-8-200 Dash 8 / 8Q
DH8C,DH3,De Havilland Canada DHC-8-300 Dash 8 / 8Q
DH8D,DH4,De Havilland Canada DHC-8-400 Dash 8Q
DHC5,DHC,De Havilland Canada DHC-5 Buffalo
DHC6,DHT,De Havilland Canada DHC-6 Twin Otter
DHC7,DH7,De Havilland Canada DHC-7 Dash 7
E110,EMB,Embraer EMB 110 Bandeirante
E120,EM2,Embraer EMB 120 Brasilia
E135,ER3,Embraer RJ135
E135,ERD,Embraer RJ140
E145,ER4,Embraer RJ145
E170,E70,Embraer 170
E190,E90,Embraer 190 / Lineage 1000
E195,E95,Embraer 195
E290,290,Embraer E190-E2
E295,295,Embraer E195-E2
E35L,ER3,Embraer Legacy 600 / Legacy 650
E50P,EP1,Embraer Phenom 100
E545,—N/a,Embraer Legacy 450 / Praetor 500
E550,—N/a,Embraer Legacy 500 / Praetor 600
E55P,EP3,Embraer Phenom 300
E75L,E7W,Embraer 175 (long wing)
E75S,E75,Embraer 175 (short wing)
EA50,—N/a,Eclipse 500
F100,100,Fokker 100
F27,F27,Fokker F27 Friendship
F28,F21,Fokker F28 Fellowship
F2TH,D20,Dassault Falcon 2000
F406,CNT,Reims-Cessna F406 Caravan II
F50,F50,Fokker 50
F70,F70,Fokker 70
F900,DF9,Dassault Falcon 900
FA50,DF3,Dassault Falcon 50
FA6X,DF6,Dassault Falcon 6X
FA7X,DF7,Dassault Falcon 7X
G159,GRS,Gulfstream Aerospace G-159 Gulfstream I
G280,GR3,Gulfstream G280
G73T,GRM,Grumman G-73 Turbo Mallard
GL5T,CCX,Bombardier Global 5000
GLEX,CCX,Bombardier Global Express / Raytheon Sentinel
GLF4,GJ4,Gulfstream IV
GLF5,GJ5,Gulfstream V
GLF6,GJ6,Gulfstream G650
GA7C,GL7,Gulfstream G700
H25B,H25,British Aerospace 125 series / Hawker/Raytheon 700/800/800XP/850/900
H25C,H25,British Aerospace 125-1000 series / Hawker/Raytheon 1000
HDJT,HHJ,Honda HA-420
I114,I14,Ilyushin Il-114
IL18,IL8,Ilyushin Il-18
IL62,IL6,Ilyushin Il-62
IL76,IL7,Ilyushin Il-76
IL86,ILW,Ilyushin Il-86
IL96,I93,Ilyushin Il-96
J328,FRJ,Fairchild Dornier 328JET
JS31,J31,British Aerospace Jetstream 31
JS32,J32,British Aerospace Jetstream 32
JS41,J41,British Aerospace Jetstream 41
K35R,K35,Boeing KC-135 Stratotanker
L101,L10,Lockheed L-1011 Tristar
L188,LOE,Lockheed L-188 Electra
L410,L4T,Let 410 Turbolet
LJ35,LRJ,Learjet 35 / 36 / C-21A
LJ60,LRJ,Learjet 60
MD11,M11,McDonnell Douglas MD-11
MD11,M1F,McDonnell Douglas MD-11F
MD11,M1M,McDonnell Douglas MD-11C
MD81,M81,McDonnell Douglas MD-81
MD82,M82,McDonnell Douglas MD-82
MD83,M83,McDonnell Douglas MD-83
MD87,M87,McDonnell Douglas MD-87
MD88,M88,McDonnell Douglas MD-88
MD90,M90,McDonnell Douglas MD-90
MU2,MU2,Mitsubishi Mu-2
N262,ND2,Aerospatiale (Nord) 262
NOMA,CD2,Government Aircraft Factories N22B / N24A Nomad
P8,—N/a,Boeing P-8 Poseidon
P180,P18,Piaggio P.180 Avanti
PAY2,—N/a,Piper Cheyenne 2
PC12,PL2,Pilatus PC-12
PC24,PL4,Pilatus PC-24
RJ1H,AR1,Avro RJ100
RJ70,AR7,Avro RJ70
RJ85,AR8,Avro RJ85
S601,NDC,Aerospatiale SN.601 Corvette
SB20,S20,Saab 2000
SC7,SHS,Shorts SC-7 Skyvan
SF34,SF3,Saab SF340A/B
SH33,SH3,Shorts SD.330
SH36,SH6,Shorts SD.360
SU95,SU9,Sukhoi Superjet 100-95
SW4,SW4,Fairchild Swearingen Metroliner
T134,TU3,Tupolev Tu-134
T154,TU5,Tupolev Tu-154
T204,T20,Tupolev Tu-204 / Tu-214
WW24,WWP,Israel Aircraft Industries 1124 Westwind
Y12,YN2,Harbin Y-12
YK40,YK4,Yakovlev Yak-40
YK42,YK2,Yakovlev Yak-42
YS11,YS1,NAMC YS-11
